Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Sigma Phi Epsilon,Sig EP,ΣΦΕ,MOStateSigEp,https://twitter.com/MOStateSigEp/media?lang=en,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location ,Meet Location (Address),Source
08 29,18:20,,Sig Ep House,1124 East Elm Street,St. Louis Cardinals Watch Party,,,,image:Sigma Phi Epsilon Card
08 30,16:00,19:00,Sig Ep House,1124 East Elm Street,3v3 Basketball,,,,image:Sigma Phi Epsilon Card
08 31,16:00,19:00,Taco Bell Field,1140 E Harrison Street,Flag Football,,,,image:Sigma Phi Epsilon Card
09 06,16:00,19:00,Sig Ep House,1124 East Elm Street,Crawfish Boil,,,,image:Sigma Phi Epsilon Card
,,,,,,,,,
09 07,TBD,,Taco Bell Field,1140 E Harrison Street ,Field Day with Fiji,,,,image:Sigma Phi Epsilon Card
