Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Pi Kappa Alpha,Pike,ΠΚΑ,MSU_Pikes,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location,Meet Location (Address),Source
08 27,11:00,16:00,Cheek Hall,825 S National Ave,FLOW,,,,https://twitter.com/msu_pikes
08 29,17:00,19:00,Pike House,1117 E Elm St.,Open House and Wings,,,,https://twitter.com/msu_pikes
08 30,16:00,18:00,Taco Bell Fields,1140 E Harrison St,Field Day,,,,https://twitter.com/msu_pikes
08 31,18:00,20:00,Pike House,1117 E Elm St.,Crawfish Boil,,,,https://twitter.com/msu_pikes
09 06,,,,,Volunteer with Pike,17:30,Pike House,1117 E Elm St.,https://twitter.com/msu_pikes
09 07,18:00,20:00,PSU Level 1,1110 E Madison St.,Bowling and Pizza,,,,https://twitter.com/msu_pikes
