Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Delta Sigma Phi,Delta Sig,ΔΣΦ,@DeltaSigMSU,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time,Meet Location,Meet Location (Address),Source
08 29,21:00,23:00,Taco Bell Field West,1140 E Harrison St,Slip 'n N Kick'n (Meet at 8:40pm),20:40,PSU Bear Statue,,image:Delta Sigma Phi Card
08 31,21:00,22:00,Mediacom Ice Park,635 E Trafficway St,Broomball (Meet at 8:40pm),20:40,PSU Bear Statue,,image:Delta Sigma Phi Card
09 06,20:00,22:00,The Fountain,887 S Kings,Capture the Flag (Meet at 7:40pm),19:40,PSU Bear Statue,,image:Delta Sigma Phi Card
