Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Sigma Chi,,ΣΧ,@SigmaChiMSU,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location ,Meet Location (Address),Source
08 29,21:00,,Allison's Turf Field East,730 E Cherry St,Bubble Soccer,,,,image:Sigma Chi Card
08 30,19:30,,Sigma Chi House,832 S Kimborough Ave,90's Game Night,,,,image:Sigma Chi Card
08 31,20:00,,Hammon's Student Center,832 S Kimborough Ave,Dodgeball,,,,image:Sigma Chi Card
09 02,19:00,,Ebbet's Field Restaurant,1027 E Walnut St,Ebbet's Dinner,,,,image:Sigma Chi Card
09 04,21:00,,Mediacom Ice Rink,635 E Trafficway St,Broomball,,,,image:Sigma Chi Card
09 08,19:00,,Sigma Chi House,832 S Kimborough Ave,House Mini Golf,,,,image:Sigma Chi Card
