Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Delta Chi,D-Chi,ΔΧ,DeltaChiMSU,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location,Meet Location (Address),Source
08 29,17:30,19:30,Delta Chi House,1131 E Elm Street,Open House,,,,https://www.facebook.com/Missouri-State-Delta-Chi-139898912720876/
08 30,19:00,21:00,Taco Bell Fields,1140 E Harrison St. ,Sand Volleyball,,,,https://www.facebook.com/Missouri-State-Delta-Chi-139898912720876/
09 01,17:30,19:30,Delta Chi House,1131 E Elm Street,BBQ,,,,https://www.facebook.com/Missouri-State-Delta-Chi-139898912720876/
09 06,17:30,20:30,,330 S Patterson Ave,Community Service,,,,https://www.facebook.com/Missouri-State-Delta-Chi-139898912720876/
09 08,18:00,20:00,Phelps Grove Park,950 E Bennet St.  ,Day at the Park,,,,https://www.facebook.com/Missouri-State-Delta-Chi-139898912720876/
